"","Genre","n","total_NA_sales","total_EU_sales","total_JP_sales","total_Other_sales","total_Global_sales"
"1","Action",9627,1175.16,706.08,223.47,251.55,2357.03
"2","Action-Adventure",609,67.84,62.51,5.6,19.45,155.45
"3","Adventure",5856,223.92,132.41,77.76,40.56,475.09
"4","Board Game",16,0.06,0.22,0.02,0.02,0.31
"5","Education",12,0.08,0,0,0.01,0.09
"6","Fighting",2555,322.93,147.93,132.92,52.23,655.83
"7","Misc",10236,555.21,285.64,149.68,101.07,1092.41
"8","MMO",74,4.88,3.42,2.36,1.19,11.86
"9","Music",195,25.98,15.16,6.74,4.94,52.81
"10","Party",75,2.35,1.61,0.95,0.47,5.39
"11","Platform",3809,540.65,247.9,151.47,66.89,1007.23
"12","Puzzle",3487,169.59,67.55,71.88,17.33,327.14
"13","Racing",3518,471.28,318.88,68.42,101.63,960.19
"14","Role-Playing",5482,440.48,247.93,467.93,82.28,1237.86
"15","Sandbox",9,0.69,0.56,0.52,0.12,1.89
"16","Shooter",5181,809.42,436.83,59.53,143.8,1448.43
"17","Simulation",3147,249.99,149.31,96.94,42.21,538.83
"18","Sports",6602,1113.68,630.8,223.22,234.69,2202.66
"19","Strategy",3603,95.61,58.26,78.54,15.58,248.04
"20","Visual Novel",260,0.47,0.07,2.78,0.12,3.47
