"","Genre","n","total_NA_sales","total_EU_sales","total_JP_sales","total_Other_sales","total_Global_sales"
"1","Action",3849,407.48,333.35,104.76,111.76,957.13
"2","Action-Adventure",436,67.35,62.14,5.25,19.42,154.2
"3","Adventure",2005,48.03,39.22,26.21,12.87,126.4
"4","Board Game",10,0.06,0.22,0.02,0.02,0.31
"5","Education",2,0.08,0,0,0.01,0.09
"6","Fighting",694,68.24,34.02,23.39,14.98,140.51
"7","Misc",5021,174.78,101.42,48.82,32.15,357.15
"8","MMO",60,4.8,3.36,2.21,1.17,11.54
"9","Music",180,25.83,14.82,6.44,4.87,51.96
"10","Party",55,2.11,1.41,0.82,0.41,4.75
"11","Platform",902,77.17,56.61,17.56,16.52,167.7
"12","Puzzle",1104,19.38,12.77,6.01,3.43,41.59
"13","Racing",772,69.71,84.97,7.85,23.67,186.17
"14","Role-Playing",1939,162.44,109.38,146.38,37.72,455.4
"15","Sandbox",4,0.69,0.56,0.52,0.12,1.89
"16","Shooter",1431,337.88,243.13,20.57,83.36,683.35
"17","Simulation",912,41.58,38.98,23.02,9.02,112.66
"18","Sports",1426,320.78,251.42,30.52,85.73,688.22
"19","Strategy",918,22.31,18.23,10.75,5.15,56.42
"20","Visual Novel",175,0.47,0.07,2.67,0.12,3.36
