"","Global_Sales"
"925",0.13
"926",0.13
"930",0.11
"931",0.15
"932",0.12
"933",0.12
"935",0.04
"936",0.04
"938",0.02
"939",0.05
"940",0.05
"946",0.02
"947",0.02
"961",0.38
"962",0.38
"963",0.01
"964",0.17
"965",0.17
"967",0.16
"968",0.16
"969",0.04
"970",0.04
"973",0.02
"974",0.01
"976",0.29
"977",0.29
"978",0.01
"979",0.11
"983",0.04
"984",0.05
"986",0.29
"987",0.29
"988",0.09
"989",0.09
"991",0.86
"994",1
"995",1
"996",0.15
"997",0.15
"998",0.1
"999",0.1
"1000",0.06
"1001",0.06
"1003",0.26
"1004",0.26
"1005",0.09
"1006",0.09
"1008",0.2
"1009",0.2
"1010",0.14
"1011",0.14
"1012",0.47
"1013",0.48
"1016",0.22
"1017",0.22
"1018",0.08
"1019",0.08
"1021",0.76
"1022",0.76
"1023",0.04
"1024",0.36
"1025",0.36
"1028",0.61
"1029",0.61
"1033",0.26
"1036",0.07
"1038",2.02
"1039",1.94
"1040",0.85
"1041",0.83
"1042",1.37
"1043",1.46
"1046",0.38
"1049",1.84
"1050",1.05
"1051",4.06
"1052",5.51
"1053",0.04
"1054",4.64
"1055",4.6
"1056",0.03
"1058",2.18
"1059",2.4
"1060",1.74
"1064",1.52
"1065",0.11
"1066",0.01
"1067",0.01
"1068",0.1
"1069",0.03
"1070",0.01
"1071",0.01
"1072",0.09
"1073",0.09
"1074",1.06
"1075",1.06
"1076",0.02
"1077",0.09
"1078",0.02
"1080",0.02
"1081",0.25
"1082",0.31
"1085",0.18
"1087",0.01
"1089",0.01
"1093",0.08
"1094",0.08
"1095",0.02
"1096",0.02
"1098",0.05
"1099",0.07
"1103",0.02
"1104",0.15
"1112",0.04
"1114",0.1
"1115",0.1
"1122",10.95
"1125",2.82
"1126",3.27
"1127",0.05
"1128",0.05
"1129",9.49
"1130",14.98
"1131",11.66
"1133",1.41
"1135",10.77
"1136",4.2
"1141",3.64
"1143",1.84
"1144",1.84
"1149",3.77
"1150",0.48
"1151",0.48
"1154",0.08
"1155",0.08
"1156",0.01
"1157",0.01
"1161",0.08
"1162",0.05
"1165",0.05
"1166",0.06
"1167",0.04
"1168",0.04
"1169",1.11
"1170",0.88
"1172",0.07
"1173",0.39
"1174",0.29
"1179",0.19
"1180",0.09
"1183",0.02
"1185",0.01
"1188",0.09
"1189",0.09
"1191",0.01
"1193",0.01
"1194",0.02
"1197",0.11
"1198",0.11
"1199",0.08
"1200",0.33
"1201",0.02
"1202",0.02
"1203",0.52
"1208",0.1
"1210",0.02
"1211",0.02
"1215",0.03
"1216",0.03
"1223",0.07
"1224",0.07
"1225",0.07
"1226",0.07
"1228",0.04
"1229",0.04
"1237",0.04
"1239",0.03
"1241",0.01
"1244",0.34
"1245",0.34
"1247",0.05
"1248",0.05
"1252",0.12
"1253",0.12
"1256",0.06
"1258",0.07
"1259",0.01
"1260",0.04
"1268",0.31
"1269",1.07
"1270",0.16
"1271",0.11
"1273",0.47
"1274",0.16
"1276",0.42
"1281",0.15
"1282",0.19
"1283",0.23
"1285",0.4
"1286",0.15
"1287",0.17
"1288",0.06
"1289",0.45
"1291",0.59
"1292",0.1
"1293",0.01
"1294",0.28
"1295",0.2
"1296",0.14
"1297",0.51
"1298",0.51
"1304",0.05
"1305",0.05
"1306",0.02
"1307",0.02
"1308",0.02
"1310",0.16
"1311",0.46
"1312",0.46
"1317",0.08
"1320",1.31
"1321",0.2
"1323",0.08
"1324",0.02
"1326",0.19
"1327",0.06
"1328",0.06
"1329",0.06
"1331",0.09
"1332",0.01
"1333",0.02
"1334",0.02
"1335",0.09
"1336",0.13
"1337",0.27
"1338",0.27
"1339",0.1
"1341",0.12
"1342",0.05
"1346",0.08
"1348",0.27
"1349",0.1
"1354",0.02
"1355",0.02
"1362",0.55
"1367",0.19
"1368",0.19
"1375",0.29
"1376",0.29
"1377",0.71
"1378",1.04
"1379",0.12
"1380",0.23
"1384",1.83
"1386",1.94
"1388",0.74
"1390",0.23
"1391",0.23
"1393",0.42
"1394",0.08
"1395",0.07
"1396",0.08
"1397",0.08
"1398",0.09
"1399",0.09
"1408",0.53
"1409",0.18
"1410",0.24
"1411",0.01
"1412",0.01
"1413",0.39
"1414",0.26
"1416",0.37
"1417",0.63
"1419",0.43
"1424",0.01
"1427",0.05
"1432",0.02
"1433",0.02
"1434",0.09
"1435",0.09
"1436",0.03
"1437",0.03
"1443",0.06
"1444",1.44
"1445",0.32
"1447",1.62
"1454",0.16
"1455",0.16
"1462",0.47
"1463",0.14
"1470",0.2
"1472",0.14
"1474",0.71
"1476",0.36
"1479",0.13
"1480",0.13
"1485",0.88
"1497",0.29
"1499",0.2
"1500",0.02
"1505",0.12
"1506",0.12
"1507",0.23
"1508",0.23
